0.1, linear, 0.797752808989
0.1, rbf, 0.76404494382
0.1, poly, 0.629213483146
0.1, sigmoid, 0.516853932584
1, linear, 0.825842696629
1, rbf, 0.825842696629
1, poly, 0.64606741573
1, sigmoid, 0.516853932584
10, linear, 0.837078651685
10, rbf, 0.859550561798
10, poly, 0.747191011236
10, sigmoid, 0.516853932584
100, linear, 0.848314606742
100, rbf, 0.893258426966
100, poly, 0.893258426966
100, sigmoid, 0.516853932584
1000, linear, 0.85393258427
1000, rbf, 0.893258426966
1000, poly, 0.910112359551
1000, sigmoid, 0.516853932584
10000, linear, 0.848314606742
10000, rbf, 0.893258426966
10000, poly, 0.915730337079
10000, sigmoid, 0.516853932584
30000, linear, 0.848314606742
30000, rbf, 0.893258426966
30000, poly, 0.915730337079
30000, sigmoid, 0.516853932584
